piece,key,major,relative,sharps,scale,has_D#,has_D,D#_degree,D_degree
bwv275.mxl,a,0,C,0,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'A']",False,True,,4.0
bwv276.mxl,d,0,F,-1,"['D', 'E', 'F', 'G', 'A', 'B-', 'C', 'D']",False,True,,1.0
bwv278.mxl,e,0,G,1,"['E', 'F#', 'G', 'A', 'B', 'C', 'D', 'E']",False,True,,7.0
bwv28.6.mxl,a,0,C,0,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'A']",False,True,,4.0
bwv280.mxl,a,0,C,0,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'A']",False,True,,4.0
bwv282.mxl,G,1,e,1,"['G', 'A', 'B', 'C', 'D', 'E', 'F#', 'G']",False,True,,5.0
bwv283.mxl,a,0,C,0,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'A']",False,True,,4.0
bwv284.mxl,g,0,B-,-2,"['G', 'A', 'B-', 'C', 'D', 'E-', 'F', 'G']",True,True,6.0,5.0
bwv285.mxl,c,0,E-,-3,"['C', 'D', 'E-', 'F', 'G', 'A-', 'B-', 'C']",True,True,3.0,2.0
bwv286.mxl,a,0,C,0,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'A']",False,True,,4.0
bwv287.mxl,F,1,d,-1,"['F', 'G', 'A', 'B-', 'C', 'D', 'E', 'F']",False,True,,6.0
bwv288.mxl,d,0,F,-1,"['D', 'E', 'F', 'G', 'A', 'B-', 'C', 'D']",False,True,,1.0
bwv289.mxl,b,0,D,2,"['B', 'C#', 'D', 'E', 'F#', 'G', 'A', 'B']",False,True,,3.0
bwv290.mxl,F,1,d,-1,"['F', 'G', 'A', 'B-', 'C', 'D', 'E', 'F']",False,True,,6.0
bwv291.mxl,F,1,d,-1,"['F', 'G', 'A', 'B-', 'C', 'D', 'E', 'F']",False,True,,6.0
bwv292.mxl,C,1,a,0,"['C', 'D', 'E', 'F', 'G', 'A', 'B', 'C']",False,True,,2.0
bwv293.mxl,C,1,a,0,"['C', 'D', 'E', 'F', 'G', 'A', 'B', 'C']",False,True,,2.0
bwv294.mxl,G,1,e,1,"['G', 'A', 'B', 'C', 'D', 'E', 'F#', 'G']",False,True,,5.0
bwv295.mxl,d,0,F,-1,"['D', 'E', 'F', 'G', 'A', 'B-', 'C', 'D']",False,True,,1.0
bwv296.mxl,G,1,e,1,"['G', 'A', 'B', 'C', 'D', 'E', 'F#', 'G']",False,True,,5.0
bwv297.mxl,d,0,F,-1,"['D', 'E', 'F', 'G', 'A', 'B-', 'C', 'D']",False,True,,1.0
bwv298.mxl,C,1,a,0,"['C', 'D', 'E', 'F', 'G', 'A', 'B', 'C']",False,True,,2.0
bwv299.mxl,B-,1,g,-2,"['B-', 'C', 'D', 'E-', 'F', 'G', 'A', 'B-']",True,True,4.0,3.0
bwv3.6.mxl,E,1,c#,4,"['E', 'F#', 'G#', 'A', 'B', 'C#', 'D#', 'E']",True,False,7.0,
bwv30.6.mxl,A,1,f#,3,"['A', 'B', 'C#', 'D', 'E', 'F#', 'G#', 'A']",False,True,,4.0
bwv300.mxl,G,1,e,1,"['G', 'A', 'B', 'C', 'D', 'E', 'F#', 'G']",False,True,,5.0
bwv301.mxl,d,0,F,-1,"['D', 'E', 'F', 'G', 'A', 'B-', 'C', 'D']",False,True,,1.0
bwv302.mxl,D,1,b,2,"['D', 'E', 'F#', 'G', 'A', 'B', 'C#', 'D']",False,True,,1.0
bwv303.mxl,D,1,b,2,"['D', 'E', 'F#', 'G', 'A', 'B', 'C#', 'D']",False,True,,1.0
bwv304.mxl,D,1,b,2,"['D', 'E', 'F#', 'G', 'A', 'B', 'C#', 'D']",False,True,,1.0
bwv305.mxl,a,0,C,0,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'A']",False,True,,4.0
bwv306.mxl,F,1,d,-1,"['F', 'G', 'A', 'B-', 'C', 'D', 'E', 'F']",False,True,,6.0
bwv307.mxl,B-,1,g,-2,"['B-', 'C', 'D', 'E-', 'F', 'G', 'A', 'B-']",True,True,4.0,3.0
bwv308.mxl,B-,1,g,-2,"['B-', 'C', 'D', 'E-', 'F', 'G', 'A', 'B-']",True,True,4.0,3.0
bwv309.mxl,g,0,B-,-2,"['G', 'A', 'B-', 'C', 'D', 'E-', 'F', 'G']",True,True,6.0,5.0
bwv310.mxl,e,0,G,1,"['E', 'F#', 'G', 'A', 'B', 'C', 'D', 'E']",False,True,,7.0
bwv311.mxl,b,0,D,2,"['B', 'C#', 'D', 'E', 'F#', 'G', 'A', 'B']",False,True,,3.0
bwv312.mxl,a,0,C,0,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'A']",False,True,,4.0
bwv313.mxl,g,0,B-,-2,"['G', 'A', 'B-', 'C', 'D', 'E-', 'F', 'G']",True,True,6.0,5.0
bwv314.mxl,A,1,f#,3,"['A', 'B', 'C#', 'D', 'E', 'F#', 'G#', 'A']",False,True,,4.0
bwv315.mxl,e,0,G,1,"['E', 'F#', 'G', 'A', 'B', 'C', 'D', 'E']",False,True,,7.0
bwv316.mxl,g,0,B-,-2,"['G', 'A', 'B-', 'C', 'D', 'E-', 'F', 'G']",True,True,6.0,5.0
bwv317.mxl,D,1,b,2,"['D', 'E', 'F#', 'G', 'A', 'B', 'C#', 'D']",False,True,,1.0
bwv318.mxl,G,1,e,1,"['G', 'A', 'B', 'C', 'D', 'E', 'F#', 'G']",False,True,,5.0
bwv319.mxl,e,0,G,1,"['E', 'F#', 'G', 'A', 'B', 'C', 'D', 'E']",False,True,,7.0
bwv32.6.mxl,G,1,e,1,"['G', 'A', 'B', 'C', 'D', 'E', 'F#', 'G']",False,True,,5.0
bwv320.mxl,F,1,d,-1,"['F', 'G', 'A', 'B-', 'C', 'D', 'E', 'F']",False,True,,6.0
bwv321.mxl,B-,1,g,-2,"['B-', 'C', 'D', 'E-', 'F', 'G', 'A', 'B-']",True,True,4.0,3.0
bwv322.mxl,G,1,e,1,"['G', 'A', 'B', 'C', 'D', 'E', 'F#', 'G']",False,True,,5.0
